,Category,NumberOfVotes,BookID,Hyperlink,Title,Rating,RatingCount,ReviewCount,Position,PositionAndTitle
0,Fiction,98291,42975172,https://www.goodreads.com/book/show/42975172-the-testaments,The Testaments by Margaret Atwood,4.21,167861,18041,1,1 - The Testaments by Margaret Atwood
1,Mystery thriller,68821,40097951,https://www.goodreads.com/book/show/40097951-the-silent-patient,The Silent Patient by Alex Michaelides,4.09,365819,39076,1,1 - The Silent Patient by Alex Michaelides
3,Debut novel,44936,40097951,https://www.goodreads.com/book/show/40097951-the-silent-patient,The Silent Patient by Alex Michaelides,4.09,365819,39076,2,2 - The Silent Patient by Alex Michaelides
5,Historical fiction,82483,40597810,https://www.goodreads.com/book/show/40597810-daisy-jones-the-six,Daisy Jones & The Six by Taylor Jenkins Reid,4.21,211493,32219,1,1 - Daisy Jones & The Six by Taylor Jenkins Reid
6,Fantasy,53430,43263680,https://www.goodreads.com/book/show/43263680-ninth-house,Ninth House by Leigh Bardugo,4.08,63377,11891,1,1 - Ninth House by Leigh Bardugo
7,Romance,76688,52410331,https://www.goodreads.com/book/show/52410331-red-white-royal-blue,"Red, White & Royal Blue by Casey McQuiston",4.26,115048,22473,1,"1 - Red, White & Royal Blue by Casey McQuiston"
8,Science fiction,41261,42046112,https://www.goodreads.com/book/show/42046112-recursion,Recursion by Blake Crouch,4.18,81596,11982,1,1 - Recursion by Blake Crouch
9,Horror,75717,43798285,https://www.goodreads.com/book/show/43798285-the-institute,The Institute by Stephen King,4.21,99405,11871,1,1 - The Institute by Stephen King
10,Humor,41454,44600621,https://www.goodreads.com/book/show/44600621-dear-girls,Dear Girls by Ali Wong,3.92,36662,3943,1,1 - Dear Girls by Ali Wong
11,Nonfiction,31276,40591267,https://www.goodreads.com/book/show/40591267-girl-stop-apologizing,"Girl, Stop Apologizing by Rachel Hollis",3.96,45778,4468,1,"1 - Girl, Stop Apologizing by Rachel Hollis"
12,Memoir autobiography,28977,43386674,https://www.goodreads.com/book/show/43386674-over-the-top,Over the Top by Jonathan Van Ness,4.22,30226,3281,1,1 - Over the Top by Jonathan Van Ness
13,History biography,31783,37570548,https://www.goodreads.com/book/show/37570548-the-five,The Five by Hallie Rubenhold,4.23,14847,2693,1,1 - The Five by Hallie Rubenhold
14,Science technology,29594,43785830,https://www.goodreads.com/book/show/43785830-will-my-cat-eat-my-eyeballs-big-questions-from-tiny-mortals-about-death,Will My Cat Eat My Eyeballs? Big Questions from Tiny Mortals ... by Caitlin Doughty,4.16,13689,2366,1,1 - Will My Cat Eat My Eyeballs? Big Questions from Tiny Mortals ... by Caitlin Doughty
15,Food cookbooks,25387,39977443,https://www.goodreads.com/book/show/39977443-antoni-in-the-kitchen,Antoni in the Kitchen by Antoni Porowski,4.03,1400,183,1,1 - Antoni in the Kitchen by Antoni Porowski
16,Graphic novels comics,29624,40864790,https://www.goodreads.com/book/show/40864790-pumpkinheads,Pumpkinheads by Rainbow Rowell,4.12,31673,6759,1,1 - Pumpkinheads by Rainbow Rowell
17,Poetry,18911,40519259,https://www.goodreads.com/book/show/40519259-shout,SHOUT by Laurie Halse Anderson,4.31,12080,2326,1,1 - SHOUT by Laurie Halse Anderson
18,Debut novel,60656,41150487,https://www.goodreads.com/book/show/41150487-red-white-royal-blue,"Red, White & Royal Blue by Casey McQuiston",4.26,115023,22473,1,"1 - Red, White & Royal Blue by Casey McQuiston"
19,Young adult fiction,36232,38926328,https://www.goodreads.com/book/show/38926328-five-feet-apart,Five Feet Apart by Rachael Lippincott,4.18,66977,8764,1,1 - Five Feet Apart by Rachael Lippincott
20,Young adult fantasy,48181,38237340,https://www.goodreads.com/book/show/38237340-the-wicked-king,The Wicked King by Holly Black,4.43,106121,15943,1,1 - The Wicked King by Holly Black
21,Childrens,33333,43128231,https://www.goodreads.com/book/show/43128231-the-tyrant-s-tomb,The Tyrant's Tomb by Rick Riordan,4.28,18910,1889,1,1 - The Tyrant's Tomb by Rick Riordan
